trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
32,False,"{'a': 0.4, 'e': 0.7333332049215034}",25,0,-139.6010423160049,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
33,False,"{'a': 0.4, 'e': 0.7260327850203406}",20,13,-42.002149846365974,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.4, 'e': 0.718805041673813}",25,0,-110.86570455582618,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
35,False,"{'a': 0.4, 'e': 0.7116492513781132}",20,0,-43.0392731711696,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
36,False,"{'a': 0.4, 'e': 0.704564697832001}",20,0,-91.13425572414097,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.4, 'e': 0.6975506718651009}",30,5,-88.40812182147539,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",1
38,False,"{'a': 0.4, 'e': 0.6906064713669132}",30,0,-137.5199055073732,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
39,False,"{'a': 0.4, 'e': 0.6837314012165325}",30,0,-165.58721226335135,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
40,False,"{'a': 0.4, 'e': 0.6769247732130652}",20,0,-28.374186168655328,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.4, 'e': 0.6701859060067401}",25,1,-43.506166095225126,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.6635141250307046}",25,0,-101.36534625823116,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.6569087624334998}",25,0,-119.6146562140462,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
44,False,"{'a': 0.4, 'e': 0.6503691570122083}",20,0,3.3928676844005037,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.4, 'e': 0.6438946541462667}",20,0,-19.11623461998194,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.4, 'e': 0.6374846057319378}",25,16,-34.59499569012655,"{0: 6, 1: 1, 2: 0, 3: 2, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.6311383701174349}",20,8,-24.46312572861263,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.4, 'e': 0.6248553120386916}",20,0,-133.85669425926608,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
49,False,"{'a': 0.4, 'e': 0.6186348025557713}",25,0,-140.8159098695546,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
50,False,"{'a': 0.4, 'e': 0.6124762189899098}",20,0,-77.87692226494497,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.4, 'e': 0.6063789448611847}",20,0,19.210371084923995,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.6003423698268051}",25,0,-180.6998650687984,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
53,False,"{'a': 0.4, 'e': 0.5943658896200157}",25,11,-29.631386921027914,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.4, 'e': 0.5884489059896089}",20,0,-44.972864940775054,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.5825908266400397}",20,13,9.43475210686013,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.5767910651721362}",35,9,-54.809497929551036,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 1}",1
57,False,"{'a': 0.4, 'e': 0.5710490410244007}",20,0,3.3764572917412417,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.4, 'e': 0.5653641794148944}",20,0,-23.666017303101345,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.4, 'e': 0.5597359112837017}",20,3,-11.832403880139161,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
